name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
new flat,ayanambakkam,53.94,931,2,0
new flat,ambattur,61.37,884,2,0
saai mugil,chitlapakkam,107.0,1647,3,0
sri smiley house,perambur,95.0,1302,3,0
happy homes,"banu nagar, ambattur",72.14,1115,2,0
sri smiley house,perambur,94.0,1300,3,0
shri sai garden,perumbakkam,155.0,1800,4,0
sri sai resident,perumbakkam,98.0,900,3,0
jayam sri sai garden hill view,perumbakkam,96.6,1200,3,0
jayam sri sai garden hill view,perumbakkam,95.0,1000,3,0
happy homes,"banu nagar, ambattur",89.36,1379,3,0
"kovur, chennai, chennai west",kovur,95.0,800,3,0
evergreen homes,kovur,70.0,721,2,0
"sikkarayapuram, chennai, chennai west",sikkarayapuram,138.0,800,3,0
"kundrathur, chennai, chennai south",kundrathur,78.0,640,2,0
"kundrathur, chennai, chennai south",kundrathur,110.00000000000001,1100,2,0
"gerugambakkam, chennai, chennai west",gerugambakkam,130.0,1000,3,0
"kundrathur, chennai, chennai south",kundrathur,110.00000000000001,1200,2,0
"kovur, chennai, chennai west",kovur,96.0,800,3,0
aparment,"kallikuppam, ambattur",74.41,1145,3,0
new flat,ramapuram,140.0,1403,3,0
new flat,ayappakkam,56.14,968,2,0
somu residency,keelkattalai,89.19,1158,3,0
"svf majestc flats,ambattur,chennai north",ambattur,69.0,1250,3,0
athish,"banu nagar west, ambattur",72.0,1110,2,0
on request,"ayagapuram,  south",41.66,682,2,0
happy homes,kolathur,84.68,1160,3,0
happy homes,"kallikuppam, ambattur",74.41,1148,3,0
sri rathis luxury,kolathur,81.0,722,2,0
sri rathis luxury,kolathur,81.0,675,2,0
navins hanging gardens,valasaravakkam,135.0,1005,2,1
madhuri nagar,gerugambakkam,120.0,970,3,0
new flat,kolathur,83.96,1202,3,0
madavan nagar,kolathur,84.0,1200,3,0
new flats,kolathur,85.0,1206,3,0
svf majestic flats,ambattur,65.0,1250,3,0
vinayagaburam,kolathur,83.95,1201,3,0
prabha homes blissful,madipakkam,84.45,877,2,0
purva somerset house,"dy,  south",305.0,1900,3,1
navganesh eden,"ayagapuram, ambattur",71.98,1180,3,0
prabha homes blissful,"puzhuthivakkam, madipakkam",119.0,1187,3,0
"kovur, chennai, chennai west",kovur,120.0,930,3,0
